state,population,total_housing_units,median_rent,median_home_value,median_income
Alabama,4887871,2274711,788,147900,49861
Alaska,737438,318352,1177,276100,74346
Arizona,7171646,3035902,1036,241100,59246
Arkansas,3013825,1380521,731,133100,47062
California,39557044,14277867,1520,546800,75277
Colorado,5695564,2424128,1289,373300,71953
Connecticut,3572665,1521123,1171,277400,76348
Delaware,967171,438659,1108,255300,64805
District of Columbia,702455,319579,1516,617900,85203
Florida,21299324,9547762,1182,230600,55462
Georgia,10519475,4326266,1008,189900,58756
Hawaii,1420491,546261,1613,631700,80212
Idaho,1754208,735703,848,233100,55583
Illinois,12741080,5376176,995,203400,65030
Indiana,6691878,2903576,820,147300,55746
Iowa,3156145,1409568,777,152000,59955
Kansas,2911510,1280553,840,159400,58218
Kentucky,4468402,1995187,779,148100,50247
Louisiana,4659978,2076136,854,167300,47905
Maine,1338404,746592,839,197500,55602
Maryland,6042718,2458779,1371,324800,83242
Massachusetts,6902149,2915043,1295,400700,79835
Michigan,9995915,4614552,861,162500,56697
Minnesota,5611179,2455637,969,235400,70315
Mississippi,2986530,1332631,777,123300,44717
Missouri,6126452,2806296,830,162600,54478
Montana,1062305,515161,811,249200,55328
Nebraska,1929268,845011,830,161800,59566
Nevada,3034392,1268717,1108,292200,58646
New Hampshire,1356458,638112,1090,270000,74991
New Jersey,8908520,3628198,1336,344000,81740
New Mexico,2095428,943232,830,174700,47169
New York,19542208,8363847,1274,325500,67844
North Carolina,10383620,4684962,900,180600,53855
North Dakota,760077,377661,808,198700,63837
Ohio,11689442,5217617,797,151100,56111
Oklahoma,3943079,1743073,808,140000,51924
Oregon,4190713,1788743,1130,341800,63426
Pennsylvania,12807060,5713136,927,186000,60905
Rhode Island,1057315,469153,998,273800,64340
South Carolina,5084127,2318291,892,170800,52306
South Dakota,882235,397506,734,171500,56274
Tennessee,6770010,2992412,861,177500,52375
Texas,28701844,11101498,1046,186000,60629
Utah,3161105,1108739,1043,303300,71414
Vermont,626299,337133,969,233100,60782
Virginia,8517685,3538985,1215,281700,72577
Washington,7535591,3148084,1316,373100,74073
West Virginia,1805832,893742,735,121300,44097
Wisconsin,5813568,2710718,847,188500,60773
Wyoming,577737,278615,818,230500,61584
Puerto Rico,3195153,1553061,484,110800,20296